"Sample","Num","Lett","Date","Time","Date.Time","C_ppm","Flush","Notes","Day","moles_C_P","mass_C_P","time_diff","mass_diff","rem_moles_C","rem_mass_C","adj_mass_diff","flux","time_hours","C_resp","C_resp_cum","time"
"2C","2","C",NA,"10:30 AM",2022-11-22 10:30:00,2373,5,NA,NA,4.1038414435239e-05,0.492912395781656,23.5,0.361842980805582,2.85305888216222e-06,0.0342680902336504,0.370955144706734,0.0157853253066695,88.8666666666667,1.48010451516292,2.60606967593915,4.63194444444444
"1A","1","A",NA,"10:45 AM",2022-11-25 10:45:00,4473,6,NA,13,7.73555953513798e-05,0.929118055765423,45.75,0.778315527599606,5.37788975133233e-06,0.0645938338032526,0.788799570376526,0.0172415206639678,72.25,1.23779975598129,4.89631709673871,10.7604166666667
"1B","1","B",NA,"10:45 AM",2022-11-25 10:45:00,4412,6,NA,NA,7.63006677152443e-05,0.916447319927799,45.75,0.757751546486086,5.304549426085e-06,0.063712943156707,0.768784340813312,0.0168040293073948,72.25,1.23296290229161,4.91045312620738,10.7604166666667
"1C","1","C",NA,"10:45 AM",2022-11-25 10:45:00,4084,6,NA,NA,7.06282699340566e-05,0.848316150177954,45.75,0.687127772964905,4.91019489032891e-06,0.0589763508277406,0.698333857255386,0.0152641280274401,72.25,1.12192433829973,4.59158667361593,10.7604166666667
"2A","2","A",NA,"10:45 AM",2022-11-25 10:45:00,4303,6,NA,NA,7.44156330867398e-05,0.893806169004832,45.75,0.736979848391621,5.17349868097094e-06,0.0621388926571419,0.747882675246406,0.0163471623004679,72.25,1.16402360882287,3.78778205425094,7.64236111111111
"2B","2","B",NA,"10:45 AM",2022-11-25 10:45:00,4055,6,NA,NA,7.01267469595004e-05,0.842292357730559,45.75,0.728048018211001,4.87532817832609e-06,0.0585575667498746,0.735990474860182,0.0160872234942116,72.25,1.148742252949,3.65461486217623,7.64236111111111
"2C","2","C",NA,"10:45 AM",2022-11-25 10:45:00,4077,6,NA,NA,7.05072126643361e-05,0.846862131311341,45.75,0.724724546515886,4.90177878743168e-06,0.0588752650158419,0.733215754715375,0.0160265738735601,72.25,1.1492048578858,3.75527453382495,7.64236111111111
"1A","1","A",NA,"8:30 AM",2022-11-29 08:30:00,2779,7,NA,17,4.80597360790263e-05,0.577245490045184,23.75,0.417095697736859,3.34119285020177e-06,0.0401310673237735,0.428229577875984,0.0180307190684625,93.75,1.65338623745767,6.54970333419638,14.6666666666667
"1B","1","B",NA,"8:30 AM",2022-11-29 08:30:00,2520,7,NA,NA,4.35806170993689e-05,0.52344679198052,23.75,0.393831395871058,3.02979704300413e-06,0.0363908922835226,0.402842473960311,0.0169617883772763,93.75,1.58277270396896,6.49322583017634,14.6666666666667
"1C","1","C",NA,"8:30 AM",2022-11-29 08:30:00,2263,7,NA,NA,3.91360859110602e-05,0.470063527877745,23.75,0.347510509120401,2.72080583663426e-06,0.0326795989038141,0.356030598980432,0.014990762062334,93.75,1.41819797295816,6.00978464657409,14.6666666666667
"2A","2","A",NA,"8:30 AM",2022-11-29 08:30:00,2456,7,NA,NA,4.24738077762103e-05,0.510152905200062,23.75,0.317599263864371,2.95284981651513e-06,0.0354666791461633,0.33098591352581,0.0139362489905604,93.75,1.41953490426695,5.2073169585179,11.5486111111111
